"codePersonnel","telephone","nom","prenom","adresse","courriel","nomRang","nomTitre","nomDignite","nomGrade","SIRET"
"1","04 23 03 70 00","Lejeune","Claudine","chemin Lemaire, 79744 Schneiderdan","rlefevre@example.org","NULL","Protecteur","NULL","Sympathisant","58327577715553"
"2","0244835563","Henry","Agathe","boulevard de Guillon, 46547 Saint Élisabeth","mweber@example.org","Compagnon","NULL","NULL","Affilié","93862832892974"
"3","05 19 26 71 45","Bruneau","Patricia","65, boulevard Maurice Alexandre, 50638 Bonnet-sur","alexandreleblanc@example.org","Novice","NULL","NULL","Affilié","94673952937125"
"4","+33 (0)1 77 60 01 92","Rousseau","Alice","49, rue de Guillou, 19876 Lemonnier","dbriand@example.org","Compagnon","NULL","Grand Chancelier","Affilié","93862832892974"
"5","+33 (0)6 95 65 90 48","Moulin","Geneviève","64, chemin Maillot, 19706 Courtois-la-Forêt","clercgregoire@example.net","Compagnon","Philanthrope","NULL","Adhérent","29204316537763"
"6","03 73 29 38 48","Paul","Michelle","1, chemin de Alexandre, 08781 Clément","glaunay@example.org","NULL","Honorable","NULL","Sympathisant","17463215129492"
"7","+33 (0)6 61 21 26 64","Joubert","Agnès","40, chemin de Hamon, 08839 Grégoire","valeriemahe@example.org","Compagnon","Protecteur","NULL","Affilié","58327577715553"
"8","+33 3 66 80 75 01","Peron","Hugues","15, avenue Goncalves, 43315 BesnardVille","hmoreno@example.com","NULL","NULL","NULL","Sympathisant","26214346355415"
"9","+33 (0)4 38 19 96 53","Jacquet","Patrick","23, rue Ribeiro, 38513 BoulangerBourg","meunierisabelle@example.org","Novice","NULL","NULL","Grand Chevalier","03797424656396"
"10","+33 (0)1 44 18 23 44","Martineau","Caroline","652, rue Besnard, 14847 Saint Laurence-sur-Mer","hbodin@example.net","Novice","Philanthrope","Grand Chancelier","Affilié","17463215129492"
"11","+33 (0)4 66 00 81 09","Humbert","Marcel","36, avenue François, 62116 Clerc","etiennethibault@example.org","Compagnon","NULL","Grand Chancelier","Affilié","27572905406075"
"12","+33 (0)3 58 49 08 00","Grégoire","Hugues","28, rue Rousset, 46387 Blot","penelopeclerc@example.org","NULL","NULL","NULL","Sympathisant","58327577715553"
"13","+33 (0)7 90 52 33 90","Roy","Alphonse","60, rue Sébastien Ruiz, 87202 Saint Sylvie","elodie89@example.com","NULL","NULL","NULL","Grand'Croix","26214346355415"
"14","+33 4 68 61 66 42","Poirier","Éric","97, rue Gabrielle Prévost, 58591 Legros","leon00@example.net","Novice","NULL","NULL","Sympathisant","27572905406075"
"15","+33 (0)2 98 21 60 79","Grenier","Philippine","4, rue Marthe Labbé, 20906 Sainte Xavier","zroy@example.net","Compagnon","NULL","NULL","Chevalier","98583403494414"
"16","0149685798","Aubert","François","42, avenue Ruiz, 07221 Marty-la-Forêt","remy54@example.org","NULL","NULL","NULL","Chevalier","26904574727467"
"17","01 53 10 62 88","Aubry","Paulette","5, avenue Allain, 64880 BarthelemyVille","charlottefaure@example.com","NULL","NULL","Maître","Adhérent","91809860751237"
"18","02 54 12 94 95","Bouchet","Bertrand","532, chemin Chauvin, 33385 Lenoir","isaaccollet@example.org","NULL","NULL","Maître","Adhérent","21203305835197"
"19","0561662109","Neveu","Camille","48, avenue Jérôme Delannoy, 92186 Sainte François","josettepayet@example.com","NULL","NULL","NULL","Affilié","17463215129492"
"20","+33 4 80 17 83 09","Da Silva","Michel","97, avenue Véronique Alves, 10871 Nicolas-sur-Rod","antoinette50@example.net","NULL","NULL","NULL","Adhérent","17463215129492"
"21","+33 (0)2 41 65 93 37","Guillet","Thibault","378, rue Claudine Klein, 65854 Sainte Martin","paulettejourdan@example.net","Compagnon","NULL","NULL","Adhérent","98583403494414"
"22","04 90 11 69 01","Lefèvre","Pauline","1, boulevard de Chauveau, 52546 Seguin","thomasrolland@example.com","NULL","NULL","NULL","Chevalier","27572905406075"
"23","0491492536","Chauvet","Émilie","66, avenue Hubert, 38586 Rivière","arnaudeferrand@example.net","NULL","Philanthrope","NULL","Affilié","03797424656396"
"24","+33 3 57 76 06 85","Rousseau","Lucy","591, chemin Blot, 19282 Diaz-sur-Mer","delmasalice@example.org","Compagnon","NULL","NULL","Adhérent","27572905406075"
"25","0497025957","Tessier","André","6, rue de Sanchez, 53946 Saint Noël","helene94@example.org","Compagnon","Protecteur","NULL","Sympathisant","26904574727467"
"26","02 31 18 67 13","Dos Santos","Denis","61, rue de Devaux, 14916 Loiseau","devauxetienne@example.com","Compagnon","NULL","NULL","Sympathisant","21203305835197"
"27","+33 (0)1 78 08 30 29","Guérin","Marcelle","185, rue de Vallée, 34315 Baillydan","iallard@example.com","NULL","Protecteur","NULL","Affilié","94673952937125"
"28","+33 4 30 65 03 90","Hebert","Georges","6, rue de Noël, 23474 Huetboeuf","normandmichele@example.org","NULL","Philanthrope","NULL","Sympathisant","17463215129492"
"29","+33 (0)6 76 29 50 01","Chrétien","Guillaume","54, rue de Klein, 92179 Morvan","etiennemoreau@example.org","NULL","NULL","NULL","Affilié","17463215129492"
"30","+33 (0)4 84 81 49 42","Gomez","Adrienne","2, avenue Thibaut Reynaud, 93444 Munozdan","kguerin@example.com","NULL","NULL","NULL","Chevalier","98583403494414"
"31","+33 1 45 83 71 38","Rodriguez","Hortense","48, avenue Renée Barre, 15412 Sainte JoséphineVil","yjacquot@example.com","Compagnon","NULL","NULL","Chevalier","17069000924583"
"32","+33 (0)3 52 12 24 30","Bonnet","Émilie","avenue de Jacob, 90106 PagesBourg","ilemoine@example.org","Novice","NULL","NULL","Sympathisant","03797424656396"
"33","0558983692","Blot","Grégoire","8, avenue Techer, 82265 Saint Sabine","margaret62@example.org","NULL","Honorable","NULL","Commandeur","29204316537763"
"34","0590789474","Vasseur","Isabelle","25, chemin Aimée Fleury, 07581 Fouquet","sophiefaure@example.com","NULL","NULL","NULL","Chevalier","17069000924583"
"35","05 08 59 57 83","Georges","Geneviève","9, rue Antoinette Hernandez, 63719 Texier","noemi18@example.net","NULL","NULL","NULL","Affilié","03797424656396"
"36","02 53 62 62 84","Colin","Nath","avenue Élise Maillet, 94630 Hebertboeuf","parisjules@example.com","NULL","Protecteur","NULL","Adhérent","91809860751237"
"37","+33 3 84 04 38 00","Mace","Laurent","97, boulevard Bourdon, 42365 Lévyboeuf","clementsabine@example.org","NULL","Honorable","Grand Maître","Adhérent","94673952937125"
"38","01 60 81 68 36","Benoit","Michèle","48, rue de Voisin, 02818 Samsonnec","valentine84@example.com","Novice","NULL","NULL","Sympathisant","27572905406075"
"39","0553854607","Daniel","Célina","rue de Mallet, 05795 Lemonnier","nicolashonore@example.org","NULL","NULL","NULL","Adhérent","17069000924583"
"40","06 69 44 96 98","Gimenez","Aimée","24, boulevard Lévy, 25356 PeltierVille","ebernier@example.com","Novice","NULL","NULL","Adhérent","26214346355415"
"41","05 49 67 26 48","Pages","Édouard","boulevard Dominique Peltier, 32928 Chartier-sur-C","rfoucher@example.net","Compagnon","NULL","NULL","Sympathisant","21203305835197"
"42","+33 7 53 55 31 39","Blanchard","Zacharie","93, avenue Lebon, 59620 Regnier","sabine44@example.org","Compagnon","Honorable","NULL","Adhérent","27572905406075"
"43","0434125994","Launay","Guy","15, rue de Legrand, 71412 Fouquet","philippelaunay@example.org","NULL","Honorable","NULL","Sympathisant","03797424656396"
"44","+33 5 59 01 81 12","Jean","Jules","435, rue de Guillon, 24903 Sainte Emmanuel-sur-Me","astrid52@example.com","Novice","Philanthrope","Grand Maître","Adhérent","26904574727467"
"45","0630501107","Henry","Maryse","72, avenue Maryse Boulanger, 13323 Saint Nicolas","hamonetienne@example.net","NULL","NULL","NULL","Affilié","58327577715553"
"46","+33 2 57 08 41 59","Costa","Agnès","97, rue de Jourdan, 85206 Saint Henrinec","dmaury@example.org","NULL","NULL","NULL","Sympathisant","29204316537763"
"47","05 08 02 46 79","Lefebvre","Olivie","459, rue de Perrin, 62912 Da Costa","bouvetguillaume@example.org","Compagnon","Honorable","NULL","Sympathisant","03797424656396"
"48","03 44 09 20 32","Lambert","Josette","602, avenue Delahaye, 15245 Seguin-sur-Durand","fredericparent@example.com","NULL","Philanthrope","NULL","Affilié","85712400990456"
"49","0611404493","Rocher","Xavier","73, avenue de Morel, 79841 Saint Stéphane","martyemilie@example.org","Compagnon","Philanthrope","NULL","Affilié","27572905406075"
"50","0344732818","Schneider","Margaud","352, rue Paul Lagarde, 56675 Teixeira","ylefevre@example.com","Novice","Protecteur","NULL","Affilié","17463215129492"
"51","+33 3 39 51 83 01","Lecomte","Amélie","44, chemin Barbier, 51512 Chauvet-sur-Mer","margotmaury@example.org","Novice","Honorable","NULL","Grand Chevalier","29204316537763"
"52","+33 4 69 19 03 82","Chartier","Colette","chemin Thibault Andre, 57785 Martineau","whenry@example.org","NULL","NULL","Maître","Adhérent","26214346355415"
"1","04 87 39 72 83","Perez","Véronique","86, rue de Simon, 37397 Dupuis","tristanandre@example.org","Compagnon","NULL","NULL","Chevalier","04168713387698"
"2","01 72 40 23 93","Ramos","Philippe","283, rue Legendre, 67883 Pages-sur-Sauvage","olivier05@example.com","Compagnon","Philanthrope","NULL","Adhérent","23925132107441"
"3","0764773810","Merle","Zacharie","23, chemin Duval, 25236 Adam","pauline92@example.net","Compagnon","Philanthrope","NULL","Affilié","32793706817473"
"4","+33 (0)2 31 00 66 99","Boulay","Astrid","avenue Gabriel Perrier, 84403 Lecontedan","madeleine97@example.net","Novice","NULL","NULL","Sympathisant","66774841166811"
